Date,S&P Composite 1500,S&P GSCI Copper,S&P GSCI Crude Oil,S&P GSCI Gold,S&P GSCI,S&P U.S. Aggregate Bond Index,S&P U.S. TIPS Index (USD),S&P United States REIT (USD),EWP,CumSum
2012-11-01,0.5392930671149321,3.0331291132771554,3.411797843113573,-0.28003800642311116,2.040541128678852,0.14936820946197527,0.45693907274149126,-0.5362535520651246,1.101847109487468,1.101847109487468
2012-12-01,0.9458355418846431,-0.7609995380887913,3.3361602616639674,-2.1204295110224813,-0.4950398307443038,-0.12324109852162035,-0.513191265436097,3.1802298329282497,0.4311655490829458,1.5330126585704138
2013-01-01,5.152026568272561,2.9344104939013183,6.054883223652075,-0.7568751621108372,4.384768986723109,-0.5388789692084006,-0.7649265516418757,3.4616452283332655,2.4908817272401516,4.023894385810565
2013-02-01,1.149650840046612,-4.328522784963662,-5.6413464986049044,-5.1071241322599885,-4.07092644737026,0.4698739214370473,0.2616068085409484,1.0950843334560423,-2.0214629949647707,2.002431390845795
2013-03-01,3.659815965080626,-3.4836193181105646,5.564867330999535,1.126700417801707,1.0850989602124161,0.10377953379707705,0.30776901435751736,2.4631020512760338,1.3534392444267933,3.355870635272588
2013-04-01,1.7014307906088488,-6.3636301345224355,-3.6979483241517896,-7.366503315551354,-4.665366002893334,0.8554816333770976,0.68358844236035,6.43320028451988,-1.552468328281592,1.8034023069909964
2013-05-01,2.1864606519477747,3.9534238812458544,-1.412778535761039,-5.355030715455545,-1.362030275188919,-1.5729543803517987,-4.017629536281431,-6.273695819990199,-1.7317793412294127,0.07162296576158356
2013-06-01,-1.3936161472730024,-7.693071683237596,5.011998624734737,-12.58234468128948,-0.5989159044355485,-1.4326119707125495,-3.885747430810238,-2.10873622760418,-3.0853806775784824,-3.0137577118168988
2013-07-01,5.006789141533485,2.2240884512308656,8.571527888990415,7.273042486518888,4.420448515434416,0.13454774848289386,0.42642358745548226,0.9223529777163675,3.6224025996703517,0.6086448878534532
2013-08-01,-3.1703786955135427,3.140046982500899,2.648448990030372,6.2621326457586335,2.909113243621775,-0.4292175158922329,-0.4196645437563262,-7.432213171216684,0.43853349194161173,1.047178379795065
2013-09-01,3.2401623808765434,2.923418725059701,-4.93216804398905,-4.808056567279273,-3.759493305348216,0.8689297718757483,0.978903880342552,2.725635730833842,-0.34533342845351894,0.7018449513415459
2013-10-01,4.338920968630111,-0.49377465127889986,-5.854248829621611,-0.013093609741621215,-1.5176707886973229,0.7205023166045987,0.6003727039570306,4.312947297308078,0.2617444258950455,0.9635893772365913
2013-11-01,2.724843993797166,-2.644504292878991,-3.766036375928361,-5.630984723083953,-0.34041943837544997,-0.2890957657169846,-0.9337637773334184,-5.523557523988664,-2.050439737938582,-1.0868503607019908
2013-12-01,2.373346264414544,4.365345812621824,6.050287336045345,-3.722238762989194,1.9721085645265979,-0.5452632893656162,-1.4139309639489506,-0.2716058301023505,1.101006141400275,0.014155780698284215
2014-01-01,-3.45123061321706,-3.905753083546759,-0.7967100980278752,3.16061891370778,-1.5440364111581006,1.454305318454363,1.9855110032752976,3.956870610923924,0.10744695505144619,0.1216027357497304
2014-02-01,4.321850731332145,-0.6037298572920013,5.162136469267931,6.449318139543314,4.339030749728156,0.43960563039312506,0.21627208672391207,4.630586570667394,3.119383815045497,3.2409865507952276
2014-03-01,0.6932466439129925,-5.371651903396413,-0.8634272560958278,-2.804391968898623,-0.07129905910578938,-0.17270290037425529,-0.2646535656335325,0.0971938653306248,-1.094710768032603,2.1462757827626247
2014-04-01,0.3808226979656548,0.044945063362134,-1.7357540402698768,0.9979446059527164,0.6026607431618314,0.731861359483621,1.3013040704793033,3.1651515970436583,0.6861170121473803,2.832392794910005
2014-05-01,2.005630938108527,3.2492085068714593,2.99064759446368,-3.8584276490307046,-0.4266318778398004,0.7710005890449456,1.891752715225703,2.0942198467057027,1.089675082943689,3.922067877853694
2014-06-01,2.157448738346035,2.3747946437926215,2.5990746737567516,5.98422068719665,1.3936438460757095,0.07996876325719882,0.38943629124402745,0.6531280943540274,1.9539644672528778,5.876032345106571
2014-07-01,-1.8513133602790055,1.3310789048963323,-6.976418097318248,-2.9374090393236796,-5.72631776012612,-0.19352600395322606,-0.0026048312554149966,-0.10355422438335093,-2.057508051467839,3.8185242936387325
2014-08-01,3.826213387597288,-1.804863731549955,-2.181549610244582,0.3993111106496139,-1.7067513685206759,0.9876492713355556,0.4330611280783381,2.6683722060777293,0.327680299177914,4.146204592816646
2014-09-01,-1.9177236103521844,-4.278521471251418,-4.875680622503753,-6.030330567968933,-6.096794244537252,-0.5541101797677195,-2.4008640808219406,-6.572820695753978,-4.0908556841196475,0.0553489086969991
2014-10-01,2.6799583070327593,0.7279373579366144,-12.132713186539823,-3.2474017997328963,-6.130133150976413,0.8254039706234062,0.8004908640210084,9.40261071182167,-0.8842308657267095,-0.8288819570297103
2014-11-01,2.277083293243576,-5.2770545812141245,-18.86680226484838,0.432499630375327,-10.964987438581108,0.6571783361618455,0.38134976657152597,1.7425917013567882,-3.702267694616819,-4.53114965164653
2014-12-01,-0.1301023882015473,-0.723666424815772,-20.76123988958628,0.9348228389211566,-13.997825027218514,0.008440461071035354,-1.096580389307722,1.4727060136334735,-4.286680600688022,-8.81783025233455
2015-01-01,-2.9014843726189454,-13.224966086941892,-8.501815838416482,7.864072901622188,-6.750336528716572,1.882075920749926,2.9452462401188706,6.443609307814291,-1.530449807048577,-10.348280059383127
