Date,S&P Composite 1500,S&P GSCI Copper,S&P GSCI Crude Oil,S&P GSCI Gold,S&P GSCI,S&P U.S. Aggregate Bond Index,S&P U.S. TIPS Index (USD),S&P United States REIT (USD),VolWt
2012-11,0.5392930671149321,3.0331291132771554,3.411797843113573,-0.28003800642311116,2.040541128678852,0.14936820946197527,0.45693907274149126,-0.5362535520651246,0.6743611327333986
2012-12,1.4851286089995752,2.272129575188364,6.74795810477754,-2.4004675174455925,1.5455012979345484,0.026127110940354914,-0.056252192694605796,2.643976280863125,-0.3748961324006195
2013-01,6.637155177272136,5.206540069089682,12.802841328429615,-3.1573426795564297,5.930270284657658,-0.5127518582680457,-0.8211787443364815,6.105621509196391,0.7592119185618804
2013-02,7.7868060173187486,0.8780172841260203,7.1614948298247105,-8.264466811816419,1.8593438372873976,-0.04287793683099839,-0.5595719357955331,7.200705842652433,-1.6270029322204
2013-03,11.446621982399375,-2.6056020339845443,12.726362160824245,-7.137766394014712,2.9444427974998137,0.060901596966078664,-0.25180292143801575,9.663807893928468,0.4375210694266666
2013-04,13.148052773008224,-8.96923216850698,9.028413836672454,-14.504269709566065,-1.7209232053935204,0.9163832303431763,0.43178552092233424,16.09700817844835,-1.7344040050942027
2013-05,15.334513424955999,-5.015808287261127,7.615635300911416,-19.85930042502161,-3.0829534805824395,-0.6565711500086224,-3.585844015359097,9.82331235845815,-2.3747905270436114
2013-06,13.940897277682996,-12.708879970498723,12.627633925646153,-32.441645106311086,-3.681869385017988,-2.089183120721172,-7.4715914461693345,7.71457613085397,-4.32818288855128
2013-07,18.94768641921648,-10.484791519267857,21.199161814636568,-25.168602619792196,0.7385791304164284,-1.954635372238278,-7.045167858713852,8.636929108570339,2.5030300851609995
2013-08,15.777307723702938,-7.3447445367669575,23.84761080466694,-18.906469974033563,3.6476923740382032,-2.383852888130511,-7.464832402470178,1.2047159373536545,1.1058607269684242
2013-09,19.01747010457948,-4.4213258117072565,18.91544276067789,-23.714526541312836,-0.11180093131001279,-1.5149231162547627,-6.485928522127626,3.9303516681874964,-0.415513986323767
2013-10,23.356391073209593,-4.915100462986157,13.06119393105628,-23.727620151054456,-1.6294717200073356,-0.794420799650164,-5.885555818170595,8.243298965495574,0.3203780406934066
2013-11,26.08123506700676,-7.559604755865148,9.295157555127918,-29.358604874138408,-1.9698911583827856,-1.0835165653671486,-6.819319595504014,2.71974144150691,-1.9086112719121835
2013-12,28.454581331421302,-3.194258943243324,15.345444891173264,-33.0808436371276,0.0022174061438122727,-1.6287798547327648,-8.233250559452966,2.4481356114045596,-0.3032787926711396
2014-01,25.003350718204242,-7.100012026790083,14.548734793145389,-29.92022472341982,-1.5418190050142884,-0.1744745362784017,-6.2477395561776685,6.405006222328483,0.9934316549518029
2014-02,29.325201449536387,-7.703741884082084,19.71087126241332,-23.470906583876506,2.797211744713868,0.26513109411472335,-6.031467469453757,11.035592792995878,2.224293652387124
2014-03,30.01844809344938,-13.075393787478497,18.84744400631749,-26.27529855277513,2.7259126856080784,0.09242819374046807,-6.296121035087289,11.132786658326502,-1.1317347644846778
2014-04,30.399270791415034,-13.030448724116363,17.111689966047614,-25.277353946822412,3.32857342876991,0.824289553224089,-4.994816964607986,14.29793825537016,0.8830574399064375
2014-05,32.40490172952356,-9.781240217244903,20.102337560511295,-29.135781595853118,2.9019415509301094,1.5952901422690347,-3.1030642493822826,16.392158102075864,0.4457462510940144
2014-06,34.56235046786959,-7.406445573452282,22.701412234268048,-23.151560908656467,4.295585397005819,1.6752589055262335,-2.713627958138255,17.045286196429892,1.7039721299589705
2014-07,32.711037107590585,-6.075366668555949,15.7249941369498,-26.088969947980146,-1.4307323631203008,1.4817329015730074,-2.71623278939367,16.94173197204654,-1.3021056756228728
2014-08,36.53725049518787,-7.880230400105904,13.543444526705217,-25.689658837330533,-3.1374837316409767,2.469382172908563,-2.283171661315332,19.61010417812427,0.2814205459804364
2014-09,34.619526884835686,-12.158751871357321,8.667763904201465,-31.719989405299465,-9.234277976178229,1.9152719931408435,-4.684035742137272,13.037283482370292,-3.351290460921902
2014-10,37.29948519186844,-11.430814513420707,-3.464949282338358,-34.967391205032364,-15.364411127154643,2.7406759637642497,-3.883544878116264,22.43989419419196,-0.4869434569448723
2014-11,39.57656848511202,-16.70786909463483,-22.33175154718674,-34.53489157465704,-26.32939856573575,3.3978542999260952,-3.502195111544738,24.182485895548748,-1.6671881404756193
2014-12,39.44646609691047,-17.431535519450602,-43.09299143677302,-33.60006873573588,-40.32722359295427,3.4062947609971306,-4.59877550085246,25.65519190918222,-2.099276284140022
2015-01,36.544981724291524,-30.656501606392496,-51.5948072751895,-25.735995834113695,-47.07756012167084,5.288370681747057,-1.6535292607335892,32.09880121699651,0.6575005452758499
2015-02,41.90194510287203,-23.69416596107754,-46.96268404932772,-30.974983001264462,-38.882813916725155,4.497101663793246,-2.902635576623359,28.427679224878815,0.16876792296384893
2015-03,40.571597722353424,-21.008584772524443,-50.71891445626474,-33.39235760990266,-44.687120530230075,4.93051359823683,-3.303570656784761,29.84657246517099,-0.8093381689897653
2015-04,41.14934243124316,-16.162256682333698,-27.250414351239726,-33.31841848594472,-32.79040379835874,4.6623632198040115,-2.6183631792287896,23.755807309528613,2.1060367057221896
