Date,S&P Composite 1500,S&P GSCI Copper,S&P GSCI Crude Oil,S&P GSCI Gold,S&P GSCI,S&P U.S. Aggregate Bond Index,S&P U.S. TIPS Index (USD),S&P United States REIT (USD),CPI
2012-11,0.005392930671149321,0.030331291132771554,0.03411797843113573,-0.0028003800642311116,0.020405411286788522,0.0014936820946197527,0.004569390727414913,-0.005362535520651246,-0.473808669488196
2012-12,0.009458355418846431,-0.007609995380887913,0.033361602616639674,-0.021204295110224813,-0.004950398307443038,-0.0012324109852162035,-0.0051319126543609705,0.0318022983292825,-0.2693064490207231
2013-01,0.05152026568272561,0.029344104939013183,0.060548832236520744,-0.007568751621108372,0.04384768986723109,-0.005388789692084006,-0.007649265516418757,0.034616452283332655,0.2957304192926058
2013-02,0.011496508400466121,-0.04328522784963662,-0.056413464986049044,-0.05107124132259988,-0.0407092644737026,0.004698739214370473,0.002616068085409484,0.010950843334560423,0.8190029529268728
2013-03,0.03659815965080626,-0.034836193181105646,0.055648673309995345,0.01126700417801707,0.010850989602124161,0.0010377953379707705,0.0030776901435751736,0.024631020512760338,0.26145085843749527
2013-04,0.01701430790608849,-0.06363630134522436,-0.036979483241517896,-0.07366503315551354,-0.04665366002893334,0.008554816333770976,0.0068358844236035,0.0643320028451988,-0.10396394770870732
2013-05,0.021864606519477747,0.039534238812458544,-0.01412778535761039,-0.05355030715455544,-0.01362030275188919,-0.015729543803517987,-0.04017629536281431,-0.062736958199902,0.17804077735872337
2013-06,-0.013936161472730024,-0.07693071683237596,0.05011998624734737,-0.1258234468128948,-0.005989159044355485,-0.014326119707125495,-0.03885747430810238,-0.0210873622760418,0.2399708085599528
2013-07,0.05006789141533485,0.022240884512308656,0.08571527888990416,0.07273042486518888,0.044204485154344164,0.0013454774848289386,0.0042642358745548226,0.009223529777163675,0.03939975332329926
2013-08,-0.03170378695513543,0.03140046982500899,0.02648448990030372,0.06262132645758633,0.029091132436217748,-0.004292175158922329,-0.004196645437563262,-0.07432213171216684,0.12029315570472043
2013-09,0.032401623808765434,0.02923418725059701,-0.04932168043989049,-0.04808056567279273,-0.03759493305348216,0.008689297718757483,0.00978903880342552,0.02725635730833842,0.11630044852635191
2013-10,0.04338920968630111,-0.0049377465127889986,-0.05854248829621611,-0.00013093609741621215,-0.015176707886973229,0.007205023166045987,0.006003727039570306,0.043129472973080785,-0.2575283259804717
2013-11,0.027248439937971658,-0.026445042928789908,-0.03766036375928361,-0.05630984723083954,-0.0034041943837544997,-0.002890957657169846,-0.009337637773334184,-0.05523557523988665,-0.2042424190523473
2013-12,0.023733462644145442,0.043653458126218236,0.06050287336045346,-0.03722238762989194,0.01972108564526598,-0.005452632893656162,-0.014139309639489506,-0.002716058301023505,-0.00858114978825597
2014-01,-0.0345123061321706,-0.03905753083546759,-0.007967100980278752,0.0316061891370778,-0.015440364111581006,0.01454305318454363,0.019855110032752976,0.03956870610923924,0.3720247673236088
2014-02,0.04321850731332144,-0.0060372985729200135,0.051621364692679306,0.06449318139543314,0.043390307497281566,0.004396056303931251,0.0021627208672391207,0.04630586570667394,0.3697908650968751
2014-03,0.006932466439129925,-0.05371651903396413,-0.008634272560958278,-0.02804391968898623,-0.0007129905910578938,-0.0017270290037425529,-0.002646535656335325,0.000971938653306248,0.6440044126228228
2014-04,0.003808226979656548,0.00044945063362133997,-0.017357540402698768,0.009979446059527164,0.006026607431618314,0.00731861359483621,0.013013040704793033,0.03165151597043658,0.3296754453157691
2014-05,0.02005630938108527,0.03249208506871459,0.0299064759446368,-0.038584276490307046,-0.004266318778398004,0.007710005890449456,0.01891752715225703,0.020942198467057027,0.34926098400485106
2014-06,0.02157448738346035,0.023747946437926215,0.025990746737567516,0.05984220687196651,0.013936438460757095,0.0007996876325719882,0.0038943629124402745,0.006531280943540274,0.18621269440941557
2014-07,-0.018513133602790055,0.013310789048963323,-0.06976418097318249,-0.029374090393236796,-0.057263177601261206,-0.0019352600395322606,-2.6048312554149966e-05,-0.0010355422438335093,-0.03901939641608454
2014-08,0.03826213387597288,-0.01804863731549955,-0.02181549610244582,0.003993111106496139,-0.01706751368520676,0.009876492713355556,0.004330611280783381,0.026683722060777293,-0.1670514165792225
2014-09,-0.019177236103521844,-0.042785214712514175,-0.04875680622503753,-0.060303305679689334,-0.060967942445372514,-0.005541101797677195,-0.024008640808219406,-0.06572820695753978,0.07525688243108508
2014-10,0.026799583070327593,0.007279373579366144,-0.12132713186539823,-0.03247401799732896,-0.061301331509764134,0.008254039706234062,0.008004908640210084,0.09402610711821668,-0.251227781255392
2014-11,0.02277083293243576,-0.052770545812141245,-0.1886680226484838,0.00432499630375327,-0.10964987438581109,0.006571783361618455,0.0038134976657152597,0.017425917013567882,-0.5399417941061246
2014-12,-0.001301023882015473,-0.00723666424815772,-0.2076123988958628,0.009348228389211566,-0.13997825027218513,8.440461071035354e-05,-0.01096580389307722,0.014727060136334735,-0.5670100910010967
2015-01,-0.029014843726189454,-0.13224966086941892,-0.08501815838416482,0.07864072901622188,-0.06750336528716572,0.01882075920749926,0.029452462401188706,0.06443609307814291,-0.4705892373473297
2015-02,0.05356963378580504,0.06962335645314954,0.04632123225861784,-0.05238987167150766,0.08194746204945691,-0.007912690179538107,-0.012491063158897697,-0.036711219921176985,0.43430449237722435
2015-03,-0.013303473805186039,0.02685581188553099,-0.03756230406937022,-0.02417374608638201,-0.05804306613504917,0.004334119344435838,-0.00400935080161402,0.014188932402921739,0.595172161109736
