Date,S&P Composite 1500,S&P GSCI,S&P GSCI Copper,S&P GSCI Crude Oil,S&P GSCI Gold,S&P U.S. Aggregate Bond Index,S&P U.S. TIPS Index (USD),S&P United States REIT (USD),const,const,const,const,const,const,const,const,InflaBeta,CumSum
2012-10-01,,,,,,,,,,,,,,,,,0.0,0.0
2012-12-01,,,,,,,,,,,,,,,,,0.0,0.0
2013-01-01,,,,,,,,,,,,,,,,,0.0,0.0
2013-02-01,,,,,,,,,,,,,,,,,0.0,0.0
2013-03-01,,,,,,,,,,,,,,,,,0.0,0.0
2013-04-01,,,,,,,,,,,,,,,,,0.0,0.0
2013-05-01,,,,,,,,,,,,,,,,,0.0,0.0
2013-06-01,,,,,,,,,,,,,,,,,0.0,0.0
2013-07-01,,,,,,,,,,,,,,,,,0.0,0.0
2013-08-01,,,,,,,,,,,,,,,,,0.0,0.0
2013-09-01,,,,,,,,,,,,,,,,,0.0,0.0
2013-10-01,,,,,,,,,,,,,,,,,0.0,0.0
2013-11-01,0.3401570532620657,-0.04270711491239541,-0.32936618558189457,-0.4789351566985803,-0.6957465303522608,-0.03633621265844828,-0.11704632344631184,-0.6869958316241164,,,,,,,,,-2.0469763020119416,-2.0469763020119416
2013-12-01,0.2940438403273738,0.24607142603139792,0.5384985676351637,0.7733470959632504,-0.4598004448252947,-0.06850762204074982,-0.17728274353369364,-0.03416261188412596,,,,,,,,,1.1122075076733213,-0.9347687943386203
2014-01-01,-0.4215838733218353,-0.19144934645422512,-0.4774768030526912,-0.10092485222073481,0.3973219736210354,0.18458382708625798,0.2520751417420163,0.5023923512144594,,,,,,,,,0.14493841861428258,-0.7898303757243377
2014-02-01,0.5039592730115071,0.5518177844133181,-0.07263504502692308,0.7053454833565412,0.8513998041355442,0.053722549314698755,0.02637377419470849,0.574630699415352,,,,,,,,,3.194614322814747,2.4047839470904093
2014-03-01,0.08287015084397444,-0.00908887091147481,-0.6448448385215573,-0.11340482262824479,-0.36210172167873184,-0.0214813622237324,-0.032921837007384026,0.012161631179501161,,,,,,,,,-1.0888116709476496,1.3159722761427597
2014-04-01,0.04539764103125561,0.0757602337770894,0.005299350863911424,-0.22405937477132787,0.12721213485044489,0.09154868307238308,0.16341247393485941,0.4085752346126851,,,,,,,,,0.693146377371301,2.0091186535140606
2014-05-01,0.23886703971758771,-0.053291617879632824,0.38544951821484524,0.3859248569578653,-0.4861273556536678,0.09621498530400749,0.23782223829524318,0.2702343844110713,,,,,,,,,1.0750940493673196,3.08421270288138
2014-06-01,0.2557839874746178,0.17308918942334378,0.2816614490002346,0.3320635427066532,0.7578778954186913,0.009925249512132459,0.04880057617546042,0.08391287139148897,,,,,,,,,1.9431147611026227,5.027327463984003
2014-07-01,-0.22185015549515955,-0.7237329275736255,0.15736947237613494,-0.9144328050678151,-0.37720566256283866,-0.023918565769895758,-0.00032495279289573663,-0.013252235643987467,,,,,,,,,-2.1173478325300827,2.90997963145392
2014-08-01,0.45585996274063867,-0.21663877529021375,-0.21641522410215783,-0.2861436585753709,0.05108998215458085,0.1218519484531602,0.05399038682626274,0.33749134744036297,,,,,,,,,0.30108596964726303,3.211065601101183
2014-09-01,-0.22930816531901196,-0.7766221403145993,-0.5152684764753135,-0.6408728733964559,-0.7740299400018991,-0.06845880797704816,-0.3001217349880389,-0.8366478173070822,,,,,,,,,-4.141329955779449,-0.9302643546782661
2014-10-01,0.3216734413201679,-0.7938179115521122,0.08688329475710485,-1.6311688968366458,-0.4212659905657193,0.10157689678586887,0.09963913796342592,1.1668168075556729,,,,,,,,,-1.0696632205722372,-1.9999275752505032
2014-11-01,0.27281158061287714,-1.4648088009781726,-0.6435632406096491,-2.663809221962975,0.05389230047934869,0.08004523565485673,0.04680915797142321,0.20993709921755524,,,,,,,,,-4.108685889614735,-6.108613464865238
2014-12-01,-0.01567364458027498,-1.9020732041961848,-0.08805255584867293,-3.0033362594348416,0.11456236816239969,0.0010248921399089253,-0.13439539647347545,0.17725096450652705,,,,,,,,,-4.850692835724614,-10.959306300589851
2015-01-01,-0.3570358592587311,-0.9151345381307481,-1.6715168696667118,-1.2173126125542937,0.9378372272132888,0.2273999398391825,0.3573121812052454,0.76453127486539,,,,,,,,,-1.873919256487378,-12.83322555707723
2015-02-01,0.6638631379249732,1.1240222468448726,0.8982673465238302,0.6642517576509477,-0.611815076320064,-0.09569777186399375,-0.1515741646542926,-0.4294742764635257,,,,,,,,,2.0618431996427473,-10.771382357434483
2015-03-01,-0.1636606213446858,-0.7836929695280419,0.3562458826794427,-0.5357058585420121,-0.28210541210423096,0.05246217180816097,-0.04857510538507483,0.16636371124753335,,,,,,,,,-1.2386682011689087,-12.010050558603393
2015-04-01,0.07054001409724327,1.6154320831390243,0.6429336761498222,3.423788848859848,0.008520094297097946,-0.03212214613576172,0.0821560663609445,-0.6979568799760082,,,,,,,,,5.11329175679221,-6.896758801811183
2015-05-01,0.14041320307316518,-0.17580762409780545,-0.699318958966599,0.22374266354981262,0.08160004662462758,-0.02757074524684997,-0.11205109565052879,-0.0469787592548167,,,,,,,,,-0.6159712699689945,-7.512730071780178
2015-06-01,-0.2363640232531725,0.0684965121374406,-0.5343633109236008,-0.15767601126347722,-0.17318082341955146,-0.11256096377524684,-0.10358555441909423,-0.5899981603433425,,,,,,,,,-1.839232335260045,-9.351962407040222
2015-07-01,0.21821999670129766,-2.0576284357840287,-1.231717150410941,-3.2984523176140934,-0.7923368505930625,0.07926688236401445,0.05298020259660453,0.6210023613462552,,,,,,,,,-6.408665311393953,-15.760627718434176
